"Id","poradi","obdobi","datum","schuze","url","cisloHlasovani","celeJmeno","narozeni","HsProcessType","OsobaId","funkce","tema","text","pocetSlov","politiciZminky","temata"
2021_6_00941,941,2021,2022-01-26,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006234.htm,,Jan Skopeček,,person,jan-skopecek,Místopředseda PSP,61. Návrh na volbu místopředsedy Poslanecké sněmovny,"Děkuji. K další faktické poznámce se přihlásila paní poslankyně Fialová. Paní poslankyně, máte slovo.
",14,
2021_6_00953,953,2021,2022-01-26,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006237.htm,,Jan Skopeček,,person,jan-skopecek,Místopředseda PSP,61. Návrh na volbu místopředsedy Poslanecké sněmovny,"Ano. Vidím další přihlášky. Pane poslanče, prosím?
",7,,
2021_6_01105,1105,2021,2022-01-27,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006274.htm,,Aleš Juchelka,,person,ales-juchelka,Poslanec,77. Ústní interpelace,"Já děkuji moc. Proto budu případně reagovat samozřejmě na odpověď od pana ministra Jurečky, kterého chci interpelovat právě ohledně vyhlášky 505, to je úhradová vyhláška na sociální služby.
Je samozřejmě známo, že úhradová vyhláška nebyla navyšována osm let, že je potřeba, aby například stravné v rámci pobytových služeb i cena za pobytové služby navýšena byla. Nicméně co je opravdu jakoby velmi nebezpečné pro všechny ty, kteří jsou v domácí terénní péči, tak je návrh na navýšení právě pečovatelské a asistenční služby u péče terénní. Minulá Sněmovna po dlouhých letech navýšila příspěvek na péči ve III. a IV. stupni příspěvku na péči, poněvadž se nezvyšoval několik let a tento příspěvek byl velmi nízký. Mnoho lidí tak skončilo v ústavní péči, poněvadž tu terénní zkrátka neufinancovali.
Na to reagovala Sněmovna a Senát enormním navýšením příspěvku na péči, aby se tento rozdíl co nejvíce snížil a pečujícím rodinám se tak odlehčilo. V tuto chvíli je na stole ale navýšení úhradové vyhlášky, a to už od března tohoto roku. I kvůli tomu, že pan ministr nekomunikoval s hendikepovanými se konala demonstrace před Ministerstvem práce a sociálních věcí a alespoň se podařilo snížit to navýšení z dvaceti na deset procent. Při navýšení úhradové vyhlášky přijde podle důvodové zprávy od všech klientů navíc 1 miliarda korun. A já se ptám, jestli je to opravdu potřeby, i přestože navýšení zhruba o deset procent se může zdát malicherné, ale pro ty, kteří jsou odkázáni na péči druhých, kterým se zdraží v tuto chvíli energie, potraviny, nájmy, kteří jsou skutečně ti nejzranitelnější, může jít o fatální problém.
A ještě minulá vláda od roku 2014 navyšovala pravidelně dotace v rámci sociálních služeb. V roce 2014 to bylo ze státního rozpočtu necelých 8 miliard korun (Předsedající: Váš čas, pane poslanče.), a v roce 2021 už 22,5 miliardy skoro. Takže se chci zeptat, jakým způsobem to pan ministr myslí a zdali skutečně bude navyšovat úhradovou vyhlášku v sociálních službách i pro služby terénní. Děkuji.
",322,,
2021_6_01106,1106,2021,2022-01-27,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006274.htm,,Jan Bartošek,,person,jan-bartosek,Místopředseda PSP,77. Ústní interpelace,"Děkuji. Nyní vystoupí pan poslanec Martin Exner, který interpeluje pana ministra vnitra Víta Rakušana a připraví se pan poslanec Karel Havlíček.
",21,
2021_6_01133,1133,2021,2022-01-27,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006277.htm,,Lucie Šafránková,,person,lucie--safrankova,Poslankyně,77. Ústní interpelace,"Děkuji vám za slovo. Pane předsedající, vážené kolegyně, vážení kolegové, vážený pane ministře. Oslovují mě zoufalí občané, živnostníci, a to nejen z našeho Jihomoravského kraje, ale z celé republiky s otázkou, kdy jim v situaci, kdy je podnikání zejména ve službách nadále omezeno, stát pomůže. Proto se na vás a za ně nyní obracím s jednoduchou otázkou: Kdy konečně vaše ministerstvo spustí poslední dva funkční programy na pomoc firmám, jejichž výdělečnou činnost výrazně omezila protiepidemická opatření? Konkrétně se jedná o výzvu 3 v rámci programu COVID - nepokryté náklady a o výzvu 2 v rámci programu COVID - 2021. Vyhlášení obou těchto výzev bylo avizováno již v polovině prosince loňského roku a dosud se v tomto směru nic dalšího neděje. Živnostníci a jejich zastřešující organizace si hromadně stěžují i na nekomunikaci vašeho úřadu, především na to, že na jejich četné dotazy, kdy budou aktuální fáze těchto podpůrných programů, na nichž doslova stojí přežití jejich podnikání včetně návazné zaměstnanosti v regionech, odstartovány.
Vážený pane ministře. Můžete mi prosím, konkrétně odpovědět, kdy tedy budou vyhlášeny aktuální výzvy v programech COVID - nepokryté náklady a COVID - 2021? Děkuji.
",186,,
2021_6_01049,1049,2021,2022-01-27,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006267.htm,,Jana Mračková Vildumetzová,,person,jana-mrackova-vildumetzova,Místopředsedkyně PSP,77. Ústní interpelace,"Děkuji předsedovi vlády. A nyní se zeptám poslance Radima Fialy, chce-li položit doplňující otázku? Vidím, že už přichází k řečnickému pultu.
",21,
2021_6_01060,1060,2021,2022-01-27,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006268.htm,,ČR Petr Fiala,,person,petr-fiala,Předseda vlády,77. Ústní interpelace,"Já jsem odpovídal, paní předsedkyně, na to, na co jste se mě ptala. To znamená, jak dlouho bude trvat rozpočtové provizorium, to jsem vám jasně řekl s jasnými daty a dokonce s jakýmsi harmonogramem schvalování ze strany vlády. Pak jste se mě ptala na to, jestli, myslím, že to všichni slyšeli, že existují nějaké problémy s vyplácením nějakých věcí pro jednotlivce i firmy v rozpočtovém provizoriu. Neřekla jste nic konkrétního. Já jsem vám řekl, že ty problémy obecně neexistují. Řekl jsem vám částku, kterou jsme uvolnili. Řekl jsem vám, jakým způsobem se dá postupovat. Řekl jsem vám, proč jsme nemohli schválit ten rozpočet. Takže já jsem vám odpověděl na všechno a myslím, že jsem odpověděl naprosto jasně.
Pokud jde o kompenzace, tak některé programy běží. My jsme celý Antivirus nezastavili, to přece dobře víte. Ale přerušili jsme, pozdrželi jsme nebo pozastavili jsme Antivirus B právě z důvodu otázky, která se vůbec netýká rozpočtu a rozpočtového provizoria, ale efektivity těch dotací a potřebností těch dotací a to jsme řekli, to jsme projednali i se sociálními partnery. Neříkám, že všichni reprezentanti podnikatelských svazů byli nadšeni. Někteří skutečně chtěli pokračování tohoto programu. Ale Antivirus A, toho se to vůbec netýká. A samozřejmě debatujeme o tom, jakou formou účinně pomoci těm, kteří byli postiženi některými rozhodnutími, na která si jistě pamatujete. To jsou třeba zákazy vánočních trhů. A ti, kteří to prostě spolu se starosty nepřejmenovali na nějaký adventní nebo jiný trh, tak ti podnikatelé se opravdu dostali do obrovských problémů. Protože se dlouhodobě připravovali na to, že ty tržby udělají a teď ty finanční prostředky pro svou obživu získají právě na těch vánočních trzích. A když ty vánoční trhy byly zakázány, tak to jsou lidé a to je typický příklad podnikatele, kterému je potřeba pomoci, (Předsedající: Pane premiére, vypršel čas na vaši odpověď.) protože stát tady něco zakázal, s čím ti lidé počítali. A tento program připravujeme a na příští nebo přespříští vládě pomoc těmto lidem schválíme.
",324,,
2021_6_01194,1194,2021,2022-01-28,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006286.htm,,Jan Bartošek,,person,jan-bartosek,Místopředseda PSP,77. Ústní interpelace,"Také děkuji. Jenom se chci, paní předsedkyně, zeptat, my tento bod máme připravený na dnešek, s tím, zda budete souhlasit, že bychom to vzali jako jeden bod, to znamená potvrzení předsedů obou výborů, nebude-li rozpor s návrhem tohoto postupu, tak bych to vzal jako jeden bod potvrzení obou předsedů. Vzhledem k tomu, že nevidím rozpor s tímto návrhem, tak to vezmu jako jeden bod potvrzení těchto předsedů. Děkuji vám.
Nyní vystoupí k pořadu pan předseda Jan Jakob.
",77,
2021_6_01195,1195,2021,2022-01-28,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006286.htm,,Jan Jakob,,person,jan-jakob,Poslanec,77. Ústní interpelace,"Děkuji, pane předsedající. Vážené dámy, vážení pánové, já se vám musím takhle po ránu k něčemu přiznat. (Rozruch z levé části sálu.) Mně letos bude čtyřicet let, a jak jsem starej, pardon, teď nevím, co jsem slyšel, nesuďte podle sebe mě, jak jsem starej, tak se nestačím divit. To, co se tady dělo včera, tak si asi zapíšu do deníčku, protože od rána tady opozice, zejména SPD obstruovala, obstruovala, tak dlouho, až když my jako vládní koalice jsme tady nabídli něco, co nebylo zvykem, obrovskou vstřícnost vůči opozici... (Rozruch z řad SPD, výkřiky.), že tady bude pravidelně bývat opoziční okénko takzvané, tak opozice tak dlouho obstruovala, až vyobstruovala sama sebe.
Já nemám deníček, tak já si to tam nezapíšu. Ale možná by politologové si měli zapsat do svých slovníků nový termín, já nevím třeba: Okamurova, omlouvám se kolegovi Hayatovi Okamurovi, ten za to nemůže, Okamurova klička jak obstruovat, obstruovat až vyobstruuji sám sebe. A čeho jste dosáhli? A proč jste obstruovali? My jako nejsme hloupí, my to víme, že obstruujete proto, že nechcete dopustit korespondenční volbu krajanů ze zahraničí. ***
Neprošlo jazykovou korekturou, neautorizováno !
A čeho jste dosáhli? Že korespondenční volba je dnes prvním bodem. Gratuluji, Okamurova klička.
Takže na to jsem chtěl upozornit při schvalování úpravy programu, že jste dosáhli toho, že ten bod, původně 7, senátní novela o volbách, je bodem prvním, nicméně my respektujeme návrh kolegyně Schillerové. Je jasné, že kolegové, kteří byli v minulé vládě, tak nemohli být voleni jako předsedové výborů, takže to plně respektujeme. Podpoříme to, abychom je potvrdili v pozicích předsedů výborů, já pevně věřím, že k tomu dojde, že opozice nepoužije tuhle kličku a nezačne opět v tuhle chvíli obstruovat.
Já se upřímně těším na diskusi o korespondenční volbě, kde si i řekneme, proč takto obstruujete, a je to zcela jednoznačné. (Potlesk z pravé strany sálu.)
Děkuji.
",306,
2021_6_01141,1141,2021,2022-01-27,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006278.htm,,Jana Hanzlíková,,person,jana-hanzlikova,Poslankyně,77. Ústní interpelace,"Děkuji za slovo, vážený pane předsedající, vážené kolegyně, vážení kolegové. Vážený pane nepřítomný ministře, nyní v době energetické chudoby a zvyšování cen téměř všeho se na mě obrací mnoho občanů, kteří se v důsledku dlouhých vyřizovacích lhůt ze strany Lékařské posudkové služby dostávají do značných finančních problémů. Nedostatek posudkových lékařů vede totiž k tomu, že se nepřiměřeně prodlužují řízení především v oblasti nepojistného systému. Ty trvají mnohdy několik měsíců a to samozřejmě velmi negativně dopadá na kvalitu života osob, které o tyto dávky žádají. A musíme si říct, o jaké osoby se jedná. Jsou to zejména osoby se zdravotním postižením, s vážným onemocněním a o jejich rodiny a pečující.
Minulá vláda se touto problematikou intenzivně zabývala, přijala mnoho opatření a považovala ji za velmi důležitou. Proto se ptám pana ministra: Jaký je aktuální stav Lékařské posudkové služby, zda je tato služba v současné době personálně stabilizovaná, v jakých lhůtách se dnes o dávkách rozhoduje? Ale především, jaká konkrétní opatření Ministerstvo práce a sociálních věcí přijme, aby nedocházelo k dlouhým vyřizovacím lhůtám, které dostávají občany do nepříznivých životních situací? Děkuji.
",179,,
